๐|sǔun|183.4,205.9 200.8,203.8 218.2,206.2 235.3,210.7 251.4,217.6 266.1,227.4 277.4,240.7 286.3,256.0 293.5,272.0 300.2,288.2 302.1,305.7 299.8,323.1 294.6,339.8 284.8,354.5 273.8,368.2 261.5,380.8 246.0,389.3 229.3,395.0 212.3,399.7 194.9,402.5 177.3,403.4 159.6,403.4 142.0,402.2 124.6,398.9 108.2,392.4 94.1,382.3 82.5,369.0 74.8,353.2 68.8,336.6 65.8,319.3 65.5,301.6 68.0,284.2 72.8,267.2 80.1,251.2 90.8,237.2 105.2,227.1 120.9,219.2 138.0,214.8 155.1,210.3 172.5,207.9
๑|nɯ̀ng|211.9,336.5 189.4,342.6 166.3,345.0 147.8,332.6 139.4,311.1 143.1,288.6 158.7,271.9 181.1,267.9 202.0,277.4 214.9,296.2 218.1,319.2 216.4,342.1 201.5,359.6 182.2,372.5 160.9,381.7 138.3,386.6 115.0,387.5 93.4,379.2 78.4,361.5 68.7,340.4 65.5,317.5 68.4,294.4 75.4,272.2 84.1,250.6 97.7,232.0 118.5,221.9 141.1,216.3 164.2,214.1 187.4,215.7 210.4,218.8 232.8,224.5 254.3,233.1 271.1,249.0 283.1,268.8 291.1,290.6 296.2,313.3 295.4,336.4 288.0,358.4 274.6,377.3 258.2,393.8
๒|sɔ̌ɔng|140.2,319.7 156.2,308.5 175.4,312.8 188.1,327.9 185.9,347.1 167.9,355.5 148.3,353.8 138.1,336.7 136.1,316.6 137.4,296.4 148.0,279.5 165.1,269.2 185.0,268.1 201.0,280.2 210.7,294.8 225.3,280.9 243.6,272.8 258.2,285.2 266.1,303.7 268.5,323.8 265.6,343.8 260.4,363.3 250.7,381.0 237.5,396.1 218.8,403.6 198.6,405.1 178.3,405.1 158.1,403.8 138.2,400.1 120.3,390.9 105.4,377.3 95.2,359.8 88.9,340.6 85.6,320.6 85.0,300.3 87.3,280.2 89.7,260.2 90.5,239.9 89.4,219.8 78.5,203.1
๓|sǎam|57.6,347.5 79.0,328.8 106.6,325.5 128.4,342.4 133.7,370.5 122.2,396.1 97.4,409.3 69.9,403.0 51.2,381.7 42.6,354.5 41.8,325.8 48.5,297.8 57.9,270.7 71.6,245.4 89.4,223.2 116.5,215.0 144.6,219.1 167.8,234.9 181.7,259.8 188.3,287.6 191.7,316.1 189.9,344.8 189.0,373.5 187.9,392.9 189.1,364.1 190.6,335.5 191.7,306.8 193.9,278.2 197.5,249.7 206.8,223.1 231.4,209.6 260.1,208.3 286.9,216.2 301.8,240.2 306.1,268.5 305.0,297.2 301.9,325.7 300.0,354.3 297.3,382.7 291.1,410.2
๔|sìi|180.7,360.9 199.0,353.1 209.2,336.7 208.2,317.1 192.9,305.7 173.1,304.2 160.2,317.4 162.0,337.1 175.4,351.6 190.6,364.6 206.1,377.1 222.2,388.8 241.4,394.2 260.5,400.0 254.9,398.6 235.1,395.8 215.1,396.6 195.5,400.1 175.8,403.7 156.0,405.9 136.1,407.5 117.4,401.7 104.1,387.0 96.0,368.8 92.9,349.0 93.8,329.1 98.6,309.8 107.4,291.9 121.7,278.3 140.2,271.0 159.8,267.9 179.8,266.6 199.8,266.2 219.7,265.3 239.6,262.5 258.7,257.0 274.4,245.2 285.5,228.6 291.4,209.6 293.5,189.8
๕|hâa|181.4,361.9 202.1,349.0 210.2,326.5 198.3,307.4 173.7,306.8 156.9,322.9 157.2,347.3 176.8,360.6 200.4,367.5 223.4,376.2 246.1,386.1 264.2,397.6 239.8,393.8 215.1,393.8 190.8,399.0 166.6,403.6 141.9,405.1 118.2,398.4 103.8,378.9 97.5,355.0 94.3,330.4 95.6,305.7 107.0,283.8 127.3,270.1 151.4,265.2 176.2,265.5 200.8,263.7 221.6,250.9 226.3,226.9 212.7,207.2 188.5,204.3 168.1,216.7 166.0,240.3 184.1,255.5 208.4,259.7 233.0,257.7 255.9,248.3 273.5,231.2 287.1,210.6 293.5,186.7
๖|hòk|123.1,389.3 140.6,389.0 154.4,379.3 157.4,362.3 149.5,347.1 134.0,339.6 116.6,340.5 102.8,350.7 100.0,367.7 107.2,383.4 118.8,396.1 135.6,400.7 153.0,402.7 170.5,402.7 188.1,402.7 205.5,401.3 222.2,396.1 237.6,387.9 252.2,378.4 260.1,363.0 265.5,346.5 266.4,329.0 263.9,311.7 257.9,295.3 247.5,281.4 231.8,274.0 214.7,270.6 197.8,265.7 180.6,263.5 163.3,265.3 147.2,272.2 131.9,280.5 116.3,288.5 105.5,291.0 107.7,273.6 106.3,256.2 99.0,240.3 92.8,223.9 86.3,207.7 79.9,191.5
๗|cèt|87.8,364.6 107.2,354.0 128.9,355.5 138.1,375.4 137.3,397.5 120.2,411.0 99.5,408.6 84.5,392.3 76.4,371.7 75.4,349.3 77.1,326.9 82.6,305.3 92.1,285.0 107.5,269.5 129.7,268.7 147.9,280.8 159.4,299.9 165.0,321.5 167.0,312.0 170.4,290.0 180.2,271.0 202.3,268.3 222.5,276.1 233.7,294.9 233.6,317.2 231.8,339.5 227.6,361.5 224.0,383.6 217.5,404.8 236.4,395.0 252.9,379.9 267.7,363.0 280.3,344.8 287.1,323.6 289.7,301.3 291.4,279.0 292.1,256.5 293.7,234.2 297.9,212.2 306.9,191.8
๘|pɛ̀ɛt|265.7,375.9 247.0,379.4 229.2,375.0 223.2,357.4 227.6,339.2 242.3,328.1 260.9,329.3 274.5,342.3 277.1,360.8 270.7,378.5 259.0,393.5 243.4,403.6 224.6,405.4 207.2,399.8 194.2,385.9 179.7,373.6 164.1,363.2 149.5,364.5 141.6,381.8 129.7,396.4 112.8,402.7 101.3,388.1 94.2,370.4 91.9,351.6 91.9,332.5 91.9,313.4 96.4,295.0 107.9,280.1 125.5,272.9 144.3,270.1 163.3,269.0 182.4,269.0 201.5,269.7 220.5,270.3 239.4,267.9 257.4,262.3 270.4,248.6 277.2,230.9 277.7,211.8 276.3,192.9
๙|kâao|128.9,391.4 134.6,371.1 153.4,359.7 175.7,359.7 186.5,377.8 177.7,397.6 160.2,411.3 138.0,411.9 118.2,401.4 102.1,385.7 91.1,366.1 87.4,344.0 90.1,321.6 96.7,300.0 107.8,280.5 127.0,269.4 149.4,267.3 168.8,278.2 185.5,293.3 201.4,309.3 216.9,325.7 229.6,344.3 240.4,364.0 252.0,383.3 266.5,400.4 264.7,392.7 250.5,375.4 237.6,357.0 226.4,337.5 216.4,317.4 209.3,296.0 209.0,273.9 226.4,262.5 245.4,274.2 265.6,282.9 284.7,272.4 292.4,251.5 293.8,229.0 291.6,206.6 289.4,184.3
